epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,214.379,0.46737,0.66391,0.34199,0.75656,0.63303,0.66565,0.3731,0.55535,0.8946,0.52581,0.000742625,0.000742625,0.000742625
43,219.134,0.45408,0.68646,0.36915,0.74355,0.5278,0.56277,0.32777,0.52728,0.88135,0.49986,0.00073025,0.00073025,0.00073025
44,224.293,0.36991,0.57575,0.32131,0.83149,0.57667,0.58514,0.33513,0.53639,0.93087,0.4822,0.000717875,0.000717875,0.000717875
45,229.079,0.40553,0.59387,0.35214,0.80728,0.57667,0.58715,0.33118,0.55734,0.85817,0.50354,0.0007055,0.0007055,0.0007055
46,234.01,0.43266,0.70655,0.31064,0.80728,0.57667,0.58715,0.33118,0.55734,0.85817,0.50354,0.000693125,0.000693125,0.000693125
47,238.858,0.41035,0.5321,0.28534,0.68727,0.61067,0.5603,0.30853,0.54147,0.96877,0.49414,0.00068075,0.00068075,0.00068075
48,243.692,0.40036,0.6392,0.30403,0.79185,0.59069,0.58739,0.31561,0.56313,0.98124,0.5013,0.000668375,0.000668375,0.000668375
49,248.376,0.35487,0.66395,0.3435,0.79185,0.59069,0.58739,0.31561,0.56313,0.98124,0.5013,0.000656,0.000656,0.000656
50,253.239,0.38636,0.66014,0.29993,0.8008,0.60299,0.63167,0.32579,0.60526,0.88757,0.56531,0.000643625,0.000643625,0.000643625
51,257.963,0.41499,0.62771,0.33371,0.7953,0.59808,0.61557,0.31706,0.61015,0.86898,0.60885,0.00063125,0.00063125,0.00063125
52,262.759,0.37688,0.55298,0.2834,0.7953,0.59808,0.61557,0.31706,0.61015,0.86898,0.60885,0.000618875,0.000618875,0.000618875
53,267.653,0.38033,0.55653,0.25508,0.79706,0.61285,0.61176,0.31778,0.57254,0.92119,0.55864,0.0006065,0.0006065,0.0006065
54,272.497,0.3959,0.58601,0.34664,0.75644,0.66596,0.63562,0.32046,0.57408,0.76366,0.57205,0.000594125,0.000594125,0.000594125
55,277.558,0.39423,0.53492,0.33703,0.75644,0.66596,0.63562,0.32046,0.57408,0.76366,0.57205,0.00058175,0.00058175,0.00058175
56,282.884,0.38152,0.6423,0.34076,0.88395,0.72846,0.71644,0.41479,0.5557,0.60434,0.53914,0.000569375,0.000569375,0.000569375
57,287.791,0.32611,0.57187,0.26707,0.93237,0.7834,0.79233,0.46603,0.525,0.57176,0.49185,0.000557,0.000557,0.000557
58,293.958,0.32854,0.57017,0.28651,0.9116,0.78112,0.76041,0.43969,0.52054,0.60607,0.50729,0.000544625,0.000544625,0.000544625
59,299.002,0.33502,0.52931,0.2676,0.9116,0.78112,0.76041,0.43969,0.52054,0.60607,0.50729,0.00053225,0.00053225,0.00053225
60,304.058,0.35694,0.51717,0.24505,0.88264,0.70036,0.71605,0.38979,0.53845,0.62997,0.50397,0.000519875,0.000519875,0.000519875
61,308.74,0.33079,0.53761,0.27441,0.88519,0.67533,0.69196,0.38607,0.57639,0.68104,0.52417,0.0005075,0.0005075,0.0005075
62,313.483,0.37758,0.4882,0.27546,0.88519,0.67533,0.69196,0.38607,0.57639,0.68104,0.52417,0.000495125,0.000495125,0.000495125
63,318.263,0.31969,0.50254,0.2145,0.96238,0.73493,0.7683,0.4403,0.57142,0.57706,0.50942,0.00048275,0.00048275,0.00048275
64,323.339,0.31428,0.53158,0.25519,0.94685,0.79392,0.80013,0.46238,0.56581,0.52631,0.51204,0.000470375,0.000470375,0.000470375
65,328.273,0.39336,0.65338,0.31414,0.94685,0.79392,0.80013,0.46238,0.56581,0.52631,0.51204,0.000458,0.000458,0.000458
66,333.03,0.24315,0.53348,0.20157,0.89548,0.73545,0.73017,0.419,0.5287,0.69535,0.46542,0.000445625,0.000445625,0.000445625
67,337.809,0.28284,0.46843,0.20657,0.87773,0.71806,0.73069,0.43564,0.49321,0.8014,0.42678,0.00043325,0.00043325,0.00043325
68,342.839,0.30654,0.59013,0.23576,0.87773,0.71806,0.73069,0.43564,0.49321,0.8014,0.42678,0.000420875,0.000420875,0.000420875
69,347.891,0.29747,0.50527,0.25885,0.892,0.71058,0.73602,0.43623,0.49843,0.79703,0.44762,0.0004085,0.0004085,0.0004085
70,353.194,0.32727,0.51767,0.22898,0.87833,0.73247,0.74632,0.44524,0.49649,0.80225,0.44843,0.000396125,0.000396125,0.000396125
71,358.056,0.31551,0.46432,0.24451,0.84671,0.75039,0.73141,0.43821,0.49012,0.81968,0.43465,0.00038375,0.00038375,0.00038375
72,363.061,0.26285,0.61455,0.20204,0.84671,0.75039,0.73141,0.43821,0.49012,0.81968,0.43465,0.000371375,0.000371375,0.000371375
73,367.949,0.26047,0.50537,0.24421,0.84321,0.73615,0.72238,0.43464,0.48814,0.82355,0.42707,0.000359,0.000359,0.000359
74,372.776,0.28652,0.53436,0.21283,0.88739,0.70892,0.72283,0.41381,0.48665,0.83947,0.4282,0.000346625,0.000346625,0.000346625
75,377.846,0.27473,0.54476,0.21769,0.88739,0.70892,0.72283,0.41381,0.48665,0.83947,0.4282,0.00033425,0.00033425,0.00033425
76,382.669,0.25059,0.52964,0.20367,0.89617,0.7304,0.74106,0.43701,0.49876,0.78507,0.45217,0.000321875,0.000321875,0.000321875
77,387.687,0.28531,0.51501,0.25784,0.90674,0.69092,0.73474,0.43871,0.48991,0.7479,0.47233,0.0003095,0.0003095,0.0003095
78,392.457,0.299,0.3988,0.21877,0.90674,0.69092,0.73474,0.43871,0.48991,0.7479,0.47233,0.000297125,0.000297125,0.000297125
79,397.359,0.27594,0.4295,0.23847,0.90121,0.69953,0.72572,0.44954,0.48642,0.72627,0.45097,0.00028475,0.00028475,0.00028475
80,402.376,0.29572,0.4401,0.22107,0.89383,0.71061,0.74232,0.44507,0.48302,0.64582,0.43866,0.000272375,0.000272375,0.000272375
81,407.379,0.27936,0.48234,0.26648,0.89383,0.71061,0.74232,0.44507,0.48302,0.64582,0.43866,0.00026,0.00026,0.00026
82,412.548,0.28319,0.3769,0.21267,0.80259,0.68037,0.692,0.4107,0.49727,0.62001,0.44843,0.000247625,0.000247625,0.000247625
83,417.631,0.26208,0.48878,0.21762,0.74683,0.64848,0.65092,0.36514,0.49895,0.69357,0.45454,0.00023525,0.00023525,0.00023525
84,422.432,0.31246,0.52909,0.2667,0.80411,0.64884,0.63227,0.35345,0.48853,0.68866,0.46035,0.000222875,0.000222875,0.000222875
85,427.213,0.3198,0.4927,0.23831,0.80411,0.64884,0.63227,0.35345,0.48853,0.68866,0.46035,0.0002105,0.0002105,0.0002105
86,432.171,0.25735,0.4781,0.24969,0.76836,0.6285,0.63149,0.36007,0.49814,0.698,0.4617,0.000198125,0.000198125,0.000198125
87,436.952,0.29287,0.42713,0.22721,0.78189,0.63312,0.63638,0.36235,0.50059,0.67197,0.46211,0.00018575,0.00018575,0.00018575
88,441.549,0.22899,0.43267,0.18412,0.78189,0.63312,0.63638,0.36235,0.50059,0.67197,0.46211,0.000173375,0.000173375,0.000173375
89,446.239,0.28209,0.44564,0.21102,0.8437,0.70508,0.7164,0.41399,0.50854,0.59362,0.47349,0.000161,0.000161,0.000161
90,451.405,0.27297,0.50317,0.22734,0.84158,0.69894,0.70821,0.41473,0.49646,0.58585,0.44908,0.000148625,0.000148625,0.000148625
91,457.542,0.16183,0.28345,0.15154,0.84158,0.69894,0.70821,0.41473,0.49646,0.58585,0.44908,0.00013625,0.00013625,0.00013625
92,462.778,0.17658,0.33118,0.1558,0.87322,0.73735,0.74145,0.43129,0.45004,0.6436,0.42629,0.000123875,0.000123875,0.000123875
93,467.63,0.16602,0.37075,0.17374,0.84589,0.72405,0.78209,0.44771,0.44293,0.64278,0.41003,0.0001115,0.0001115,0.0001115
94,472.737,0.16205,0.34431,0.13133,0.84589,0.72405,0.78209,0.44771,0.44293,0.64278,0.41003,9.9125e-05,9.9125e-05,9.9125e-05
95,477.495,0.1533,0.3005,0.13857,0.88928,0.71834,0.78697,0.4508,0.44408,0.62383,0.4173,8.675e-05,8.675e-05,8.675e-05
96,482.307,0.20906,0.42748,0.21678,0.82246,0.76907,0.79158,0.45684,0.45542,0.6112,0.43386,7.4375e-05,7.4375e-05,7.4375e-05
97,487.218,0.16601,0.42489,0.15653,0.82183,0.76958,0.79071,0.46298,0.45632,0.6153,0.43944,6.2e-05,6.2e-05,6.2e-05
98,492.1,0.14274,0.26744,0.13285,0.82183,0.76958,0.79071,0.46298,0.45632,0.6153,0.43944,4.9625e-05,4.9625e-05,4.9625e-05
99,497.055,0.1651,0.35098,0.13892,0.84093,0.77532,0.7887,0.45949,0.46202,0.62546,0.44188,3.725e-05,3.725e-05,3.725e-05
100,501.843,0.16911,0.32233,0.14162,0.86969,0.81237,0.82779,0.46952,0.46512,0.58672,0.43935,2.4875e-05,2.4875e-05,2.4875e-05
